COG_category,Num_genes
S,523
J,207
M,195
E,184
C,150
-,141
K,136
G,131
P,128
O,107
H,93
I,91
L,91
T,80
F,72
V,65
Q,52
U,48
D,35
NU,32
IQ,24
KT,16
GM,10
EH,8
KLT,8
CP,7
EGP,7
CH,4
CO,4
EG,4
EP,4
MU,4
N,4
CE,2
CG,2
COG_category,2
EQ,2
ET,2
EU,2
FG,2
FJ,2
GK,2
HJ,2
HP,2
IM,2
JKL,2
KL,2
NPTU,2
NT,2
OU,2
A,1
AJ,1
BQ,1
CQ,1
DM,1
DT,1
EJ,1
FH,1
FP,1
HL,1
JM,1
KQ,1
KU,1
LU,1
NOU,1
OP,1
OT,1
PT,1
QU,1
